player_a_id,player_a,n_maps_with_a,n_distinct_teammates,own_residual,iti,iti_ci_lower,iti_ci_upper,iti_cohens_d,iti_t_stat,iti_p_value,mean_teammate_with,mean_teammate_without
18848,henu,55,6,0.0011527581374948014,0.08464111888760524,-0.018079069981383283,0.18736130775659376,0.8647317313115136,2.118151506106692,0.08771080804184761,0.07642346225920009,-0.008217656628405139
10508,nbl,54,5,0.0015146718145624804,0.08331351876220654,-0.037304645785361454,0.20393168330977451,0.8576435995252547,1.917749389006076,0.12760173408519454,0.0591957453566449,-0.024117773405561645
19975,broken,52,5,0.0019381963156388815,0.08310892382301009,-0.019456254379008192,0.18567410202502838,1.0061246950425533,2.249763211956395,0.08766816522351764,0.06888905282596974,-0.014219870997040345
23292,pump,141,8,0.0009859360484441566,0.0743113185564267,-0.003079640231656494,0.1517022773445099,0.8027529055064396,2.270528092403229,0.057432752302599,0.05303233764748581,-0.021278980908940884
19705,chop,110,6,0.0007397725785651559,0.07344308236312815,-0.007350439568564765,0.15423660429482106,0.9539599994272452,2.3367152336224835,0.06665194498228096,0.03723838440003,-0.03620469796309814
22537,def1zer,133,5,0.0012776201601855041,0.07304148490927767,-0.004013388451912514,0.15009635827046786,1.176992164558828,2.6318344889381584,0.05807451852744226,0.013751064523161747,-0.059290420386115913
19786,depreshn,122,7,0.00044869678069491074,0.07280185710863094,-0.016848952076544396,0.16245266629380628,0.7510304550347427,1.9870398110576069,0.09410129515477966,0.06680566162657504,-0.005996195482055901
7805,rush,83,6,-0.0013775074075451485,0.07081646920451345,-0.0549361352938213,0.1965690737028482,0.5909804172349925,1.447600470202837,0.2073847300846377,0.03349482707164108,-0.037321642132872375
14061,awzek,134,4,0.0010340248340948936,0.06763933933338989,-0.019254766818863456,0.15453344548564324,1.2386258118370408,2.4772516236740816,0.08948744993949455,0.009449071598550048,-0.05819026773483984
18838,hext,120,7,-0.0008513817493736636,0.0658605797502801,0.013564598421731154,0.11815656107882905,1.1647334195936798,3.081594971930722,0.02161887583261263,0.04859684816262232,-0.01726373158765778
23902,fxre,70,5,0.0009290797837014935,0.06046430360704078,0.005071484225923101,0.11585712298815846,1.3553444255794025,3.0306422685209484,0.038756120624732736,0.03686150287236656,-0.023602800734674224
22967,ogwizard,68,6,-0.002507856685402743,0.059666814077731285,-0.017139980237949486,0.13647360839341205,0.8152466428277294,1.9969382894449446,0.10233886882020617,0.03837241790842932,-0.021294396169301972
9896,b0rup,72,11,0.003473384776240416,0.05764534366193323,0.004970890558448397,0.11031979676541806,0.7352078006732049,2.4384084177754226,0.034943986762590376,0.04738433397104638,-0.010261009690886844
24284,revoltz,143,4,-0.0013323193428387537,0.05711654294651872,0.00484410439465837,0.10938898149837906,1.7386823353418779,3.4773646706837558,0.04013171422862513,0.006642480966341932,-0.05047406198017679
20219,xns,139,9,-0.0002503965393584464,0.055475673135718835,-0.001077037242915281,0.11202838351435296,0.754028886194249,2.262086658582747,0.05354770093739614,0.027346031249417632,-0.0281296418863012
11217,spellan,154,4,-0.0010187090386725938,0.055416030922740556,-0.08524115176446773,0.19607321360994884,0.6269091257705173,1.2538182515410345,0.29871847342432445,0.014648791858522976,-0.04076723906421758
23410,coolcoms,82,5,0.0008125554402782636,0.054692491748349434,-0.003828849060043313,0.11321383255674218,1.160426214401478,2.5947918982744507,0.060378294065734556,0.02531908842109416,-0.02937340332725527
12290,perx,129,5,0.0006256571477848728,0.054605802219778274,-0.0010885685240176746,0.11030017296357422,1.2173951838191233,2.722178386500411,0.052867829806016294,0.02533562731101089,-0.029270174908767387
14359,w1nt3r,60,4,0.0017183467107630902,0.05457819207036062,-0.04579042820234028,0.1549468123430615,0.8652712632268094,1.7305425264536187,0.18196754165245474,0.01940909530647279,-0.03516909676388783
20417,anlelele,376,8,-0.00016862102545441715,0.05381192995585071,0.025803651348458793,0.08182020856324262,1.606235781462507,4.5431208530264495,0.0026577894148760543,0.03254184992519745,-0.021270080030653258
24772,nardes,113,8,-0.0009050959838577781,0.05353432953316553,0.0072943110067472325,0.09977434805958382,0.967902283377663,2.7376410724091556,0.029016801114378654,0.043720793263162416,-0.009813536270003115
23413,s-chilla,203,6,-0.0005709214505989045,0.052143824468826594,-0.016754957436596968,0.12104260637425016,0.794231571077447,1.945462086748775,0.10930347477649707,0.0423413981373679,-0.009802426331458693
11139,alistair,101,4,0.0008772385316227377,0.052091377668209635,-0.016312901069824207,0.12049565640624348,1.2117517752961617,2.4235035505923235,0.093873966982397,0.020378534846784507,-0.031712842821425134
19065,shine,83,8,-0.003499655809380559,0.05149950468577655,0.018470000007654155,0.08452900936389894,1.3035213149712919,3.686915044949624,0.007788244183562738,0.03877638577973664,-0.012723118906039907
16661,mithputtini,147,12,-4.718787484617182e-05,0.05059930892949536,-0.008458148595989708,0.10965676645498043,0.544372691286389,1.8857623191220665,0.08599596226726067,0.017923234066062343,-0.03267607486343302
21969,graviti,310,5,0.0013016962239232126,0.04887435403525052,-0.007432269357278427,0.10518097742777946,1.0777688695338725,2.409964456310841,0.07355762769027759,0.009774698018395492,-0.03909965601685502
11995,tmb,352,12,0.00031755861225666703,0.04747679818179073,0.021827563436880987,0.07312603292670047,1.176070893195391,4.074029080634655,0.0018387783193445277,0.03367932234920481,-0.013797475832585926
22011,kadziu,55,9,0.0017631522706010947,0.045787368131473896,-0.0027572327968532692,0.09433196905980107,0.725009292019825,2.175027876059475,0.06133598804947656,0.04640060655597223,0.0006132384244983316
18697,oxygen,138,5,-0.0018145002158412268,0.0448295796811249,-0.10170587603859564,0.19136503540084543,0.37986216285516133,0.8493976182242362,0.4435079192257969,0.009186424099240083,-0.03564315558188482
2476,emi,84,8,0.0003421200408098688,0.04479743614385365,-0.024720337354259367,0.11431520964196666,0.5387340814741319,1.5237700890666588,0.1713877681913886,0.0410647669680433,-0.003732669175810345
22385,melavi,67,7,-0.003184788289855905,0.04396463057995177,-0.017584596123092544,0.10551385728299609,0.6606175876817434,1.7478298487212995,0.13108341995261394,0.03809155429116146,-0.005873076288790308
20992,ivz,181,5,-0.0010030973786406556,0.0430702720219799,-0.07575619267051155,0.16189673671447136,0.4500580430540619,1.0063603780894095,0.3711789732803391,0.011124983228450187,-0.031945288793529716
18549,laser,139,7,-0.00067181262148453,0.042805990931912355,-0.004404248198783843,0.09001623006260856,0.8385667906981452,2.218639185904843,0.06832578779212027,0.01994058572191078,-0.022865405210001577
13317,aaron,86,13,-0.0009663302153219593,0.04233443666724636,-0.015544029915375401,0.10021290324986812,0.4420027957391445,1.593663743935922,0.13699574719317958,0.04328093180935025,0.0009464951421038914
