player_a_id,player_b_id,player_a,player_b,outcome,n_with,n_without,mean_with,mean_without,delta,cohens_d,t_stat,p_value,significant,bh_significant,bh_rank,bh_threshold
150,8575,maj3r,calyx,rating,118,105,-0.009507791871224969,0.01733315263033007,-0.02684094450155504,-0.1644871682335537,-1.2220923347659165,0.22301327391338222,False,False,6104,0.021054083885209712
150,8575,maj3r,calyx,adr,118,105,-0.8135617969821526,1.603532753493002,-2.4170945504751544,-0.1405406828699462,-1.0408939879348507,0.29912000172421316,False,False,7143,0.024637831125827816
150,8575,maj3r,calyx,kd_log,118,105,0.010666440227249514,-0.009089147651633454,0.019755587878882968,0.04473377118973418,0.3314363064280498,0.7406441388317271,False,False,11872,0.040949227373068435
8575,150,calyx,maj3r,rating,118,158,0.016719116867371465,-0.008108674699364424,0.02482779156673589,0.1519973941241981,1.2570269782210628,0.20988202589650376,False,False,5889,0.0203125
8575,150,calyx,maj3r,adr,118,158,1.8848350414459727,-0.9325566815321747,2.8173917229781473,0.16706723413659522,1.3806225023820606,0.1685943338507574,False,False,5267,0.018167080573951437
8575,150,calyx,maj3r,kd_log,118,158,0.044171484241256054,-0.030987389260790595,0.07515887350204664,0.16565590958515194,1.3663222989502022,0.17303964234805003,False,False,5345,0.01843612030905077
150,22361,maj3r,jottaaa,rating,158,142,-0.0516903327617188,0.057899041384545706,-0.1095893741462645,-0.64542926001475,-5.546540310747352,6.674687564115604e-08,True,True,30,0.000103476821192053
150,22361,maj3r,jottaaa,adr,158,142,-5.615904223167302,6.303283661511355,-11.919187884678657,-0.6560795067822346,-5.6233290719948865,4.5666989684217863e-08,True,True,23,7.933222958057396e-05
150,22361,maj3r,jottaaa,kd_log,158,142,-0.059422020595695416,0.06604147646396756,-0.12546349705966298,-0.29077233331371655,-2.4914285545322814,0.013309304827407463,True,False,1716,0.00591887417218543
22361,150,jottaaa,maj3r,rating,158,118,-0.008108674699364424,0.016719116867371465,-0.02482779156673589,-0.1519973941241981,-1.2570269782210628,0.20988202589650376,False,False,5890,0.020315949227373068
22361,150,jottaaa,maj3r,adr,158,118,-0.9325566815321747,1.8848350414459727,-2.8173917229781473,-0.16706723413659522,-1.3806225023820606,0.1685943338507574,False,False,5266,0.018163631346578366
22361,150,jottaaa,maj3r,kd_log,158,118,-0.030987389260790595,0.044171484241256054,-0.07515887350204664,-0.16565590958515194,-1.3663222989502022,0.17303964234805003,False,False,5346,0.018439569536423842
8183,429,rain,karrigan,rating,251,31,-0.003132583181441204,0.03492283342406831,-0.03805541660550951,-0.24416447195495664,-1.1296543342323868,0.2661851347538207,False,False,6721,0.02318225717439294
8183,429,rain,karrigan,adr,251,31,-0.30528243700127744,3.563760786521308,-3.8690432235225853,-0.23794080635427892,-1.0790587056618157,0.2878862706570934,False,False,6996,0.024130794701986757
8183,429,rain,karrigan,kd_log,251,31,-0.0072116043013813825,0.0775425451091621,-0.08475414941054349,-0.18393827750116332,-0.8706704727369167,0.38971801601824174,False,False,8224,0.028366445916114792
429,8738,karrigan,elige,rating,90,123,-0.014330727261733182,0.010786472511503406,-0.025117199773236586,-0.1288438709940633,-0.9035209105286117,0.3675228723330015,False,False,7973,0.027500689845474616
429,8738,karrigan,elige,adr,90,123,-2.1797317149263815,1.6692630438123819,-3.8489947587387636,-0.19214105248616,-1.3664536345638234,0.17348386736677404,False,False,5351,0.018456815673289186
429,8738,karrigan,elige,kd_log,90,123,-0.04575081506609481,0.035360794754081465,-0.08111160982017628,-0.18850010837360487,-1.3412809341021195,0.1814982322060284,False,False,5480,0.01890176600441501
8738,429,elige,karrigan,rating,90,192,-0.009476172626205571,0.005985338510223316,-0.015461511136428886,-0.09901736991983132,-0.8101954434367411,0.41881573463495736,False,False,8529,0.029418460264900664
8738,429,elige,karrigan,adr,90,192,-1.1704562058157604,0.7249570375950958,-1.8954132434108562,-0.11641372885005975,-0.955692294008563,0.3404012421074298,False,False,7613,0.02625896799116998
8738,429,elige,karrigan,kd_log,90,192,0.04091803745268647,-0.016088110166690015,0.05700614761937649,0.12371895135281621,0.9969845774622366,0.32005731098092427,False,False,7391,0.025493239514348787
429,10394,karrigan,twistzz,rating,31,189,0.028284844668554247,-0.002549767057773276,0.030834611726327524,0.1753745457152715,0.8634274176882769,0.393164279739604,False,False,8267,0.028514762693156732
429,10394,karrigan,twistzz,adr,31,189,2.6734507640915424,-0.21547544585499478,2.888926209946537,0.15559525126688625,0.7935506074577222,0.4321256386272083,False,False,8671,0.029908250551876382
429,10394,karrigan,twistzz,kd_log,31,189,0.07063474673739485,-0.011390605155509536,0.08202535189290439,0.1765180806625608,0.9623524535608498,0.34134071382699077,False,False,7625,0.0263003587196468
10394,429,twistzz,karrigan,rating,31,251,-0.0045853224810767585,0.0017469101773615746,-0.0063322326584383335,-0.040512216603997335,-0.20186166194877836,0.8411374474980106,False,False,12870,0.04439155629139073
10394,429,twistzz,karrigan,adr,31,251,-0.8313892056609473,0.23754485286983787,-1.0689340585307852,-0.0655692350516315,-0.3207816430921045,0.7502078383568208,False,False,11985,0.04133899006622517
10394,429,twistzz,karrigan,kd_log,31,251,-0.011233828159005466,0.003752808333332537,-0.014986636492338003,-0.032472453637226784,-0.1660081381051707,0.8690482448335896,False,False,13182,0.04546771523178808
429,11816,karrigan,ropz,rating,147,158,-0.007187972537857719,0.01134286246093983,-0.018530834998797548,-0.10240999354896596,-0.8923967852164488,0.37289731385627406,False,False,8033,0.02770764348785872
429,11816,karrigan,ropz,adr,147,158,-1.0644675208577257,1.4748149602248914,-2.5392824810826173,-0.13491225292134432,-1.1747956538648014,0.2410147513581188,False,False,6354,0.02191639072847682
429,11816,karrigan,ropz,kd_log,147,158,-0.0337067450130152,0.035619640206646194,-0.06932638521966139,-0.16725537302585963,-1.452048611255244,0.1475700564082978,False,False,4981,0.017180601545253863
11816,429,ropz,karrigan,rating,147,135,0.010508732380230056,-0.009247808905847723,0.01975654128607778,0.1266422095486719,1.066909928591905,0.28693174816166195,False,False,6988,0.024103200883002208
11816,429,ropz,karrigan,adr,147,135,1.3235100589479971,-1.1904095257075231,2.51391958465552,0.15463568409012826,1.303489192257848,0.1934793909247503,False,False,5669,0.019553669977924945
11816,429,ropz,karrigan,kd_log,147,135,-0.001303952250264893,0.005817682959453605,-0.007121635209718498,-0.015430538681132961,-0.12978066185757053,0.8968332012181577,False,False,13488,0.04652317880794702
429,22383,karrigan,jcobbb,rating,38,126,-0.1151606865348186,0.0310991719639388,-0.1462598584987574,-0.7494756085893612,-4.610826511201834,1.571784347964711e-05,True,True,204,0.0007036423841059603
429,22383,karrigan,jcobbb,adr,38,126,-12.464705731700363,3.3642802169468418,-15.828985948647205,-0.7726824638239033,-4.970789656212802,3.4494639697041447e-06,True,True,128,0.0004415011037527594
429,22383,karrigan,jcobbb,kd_log,38,126,-0.16103292393822602,0.04530095941620925,-0.20633388335443525,-0.45716307407174916,-2.451766399317048,0.017126028602707222,True,False,1926,0.006643211920529801
22383,429,jcobbb,karrigan,rating,38,244,-0.0009716744691300533,0.0013657913419316283,-0.0023374658110616817,-0.014953573669898192,-0.08060846140972805,0.9360937909751615,False,False,13824,0.04768211920529802
22383,429,jcobbb,karrigan,adr,38,244,-0.44996759560623517,0.20880926773720013,-0.6587768633434353,-0.0404051930203432,-0.22194405654501928,0.8253025708349132,False,False,12720,0.043874172185430466
22383,429,jcobbb,karrigan,kd_log,38,244,-0.05178085379860344,0.01049745353723045,-0.06227830733583389,-0.135079653221362,-0.7331681247279864,0.4670623605530312,False,False,9044,0.031194812362030908
