player_a_id,player_b_id,player_a,player_b,n_sig_outcomes,outcomes_significant,max_t,min_p,n_bh_sig_outcomes,delta_adr,delta_kd_log,delta_rating
7687,16717,nitr0,br0,3,"adr, kd_log, rating",6.157400142396356,1.2081574996461484e-08,3,18.022789263329283,0.24539154132759772,0.1631119460666075
20333,16717,jeorge,br0,3,"adr, kd_log, rating",6.157400142396356,1.2081574996461484e-08,3,18.022789263329283,0.24539154132759772,0.1631119460666075
20522,18743,gbb,nython,3,"adr, kd_log, rating",6.148247846871523,3.3322781569651675e-09,3,13.402563738407533,0.26500041572148414,0.125701900885096
23551,18743,tomate,nython,3,"adr, kd_log, rating",6.148247846871523,3.3322781569651675e-09,3,13.402563738407533,0.26500041572148414,0.125701900885096
20945,24179,frontsiderr,spavaqu,3,"adr, kd_log, rating",5.803535657788529,2.352097917030021e-08,2,14.221748374084182,0.12979017187974212,0.1370517466261023
20245,22361,samey,jottaaa,3,"adr, kd_log, rating",5.6233290719948865,4.5666989684217863e-08,2,11.919187884678657,0.12546349705966298,0.1095893741462645
22047,22361,yxngstxr,jottaaa,3,"adr, kd_log, rating",5.6233290719948865,4.5666989684217863e-08,2,11.919187884678657,0.12546349705966298,0.1095893741462645
18743,18865,nython,dav1deus,3,"adr, kd_log, rating",5.550673790856488,8.530482049407825e-08,2,15.224786632221786,0.17251247164562294,0.1408733120644442
21288,18865,venomzera,dav1deus,3,"adr, kd_log, rating",5.550673790856488,8.530482049407825e-08,2,15.224786632221786,0.17251247164562294,0.1408733120644442
19187,22361,xfl0ud,jottaaa,3,"adr, kd_log, rating",5.534314966220374,7.003075104413371e-08,2,11.659022139295143,0.12214807259146994,0.10850757009689142
19692,18717,zevy,lucaozy,3,"adr, kd_log, rating",5.403612633223219,2.757608304912234e-07,3,16.123194363358735,0.3765836474959462,0.13659913084282982
19235,13776,belchonokk,jame,3,"adr, kd_log, rating",5.350882027597098,2.1876155049093272e-07,2,10.053459564051902,0.1631617799673672,0.08620595589320794
22929,13776,nota,jame,3,"adr, kd_log, rating",5.350882027597098,2.1876155049093272e-07,2,10.053459564051902,0.1631617799673672,0.08620595589320794
19310,22361,lnz,jottaaa,3,"adr, kd_log, rating",5.301446688488496,2.361626512540691e-07,2,11.323723425802289,0.11703553273157034,0.10479735372852253
16817,18865,hardzao,dav1deus,3,"adr, kd_log, rating",5.289668331075446,5.94139504000679e-07,3,16.137617047071977,0.269537091974029,0.14899114684120882
9483,18743,destiny,nython,3,"adr, kd_log, rating",5.259849212787075,3.746149704954687e-07,3,11.990252966698144,0.3108705989320173,0.11221991520232877
13250,19128,ben1337,slight,3,"adr, kd_log, rating",5.211216168752121,1.5096340301084057e-06,3,16.5594879822083,0.27257003538534486,0.16124042989189177
23415,23414,zerrofix,jackasmo,3,"adr, kd_log, rating",5.021841511086856,8.095401268156139e-07,2,9.776767486410922,0.14365444887013654,0.09594518916393138
20465,20425,arrozdoce,r1nkle,3,"adr, kd_log, rating",5.004452211615895,2.201815001330125e-06,3,13.530745313020045,0.2819976064676618,0.10575617186175357
18070,22383,demho,jcobbb,3,"adr, kd_log, rating",4.970789656212802,3.4494639697041447e-06,2,15.828985948647205,0.20633388335443525,0.1462598584987574
18979,22383,prism,jcobbb,3,"adr, kd_log, rating",4.970789656212802,3.4494639697041447e-06,2,15.828985948647205,0.20633388335443525,0.1462598584987574
23766,22383,hypex,jcobbb,3,"adr, kd_log, rating",4.970789656212802,3.4494639697041447e-06,2,15.828985948647205,0.20633388335443525,0.1462598584987574
23413,23414,s-chilla,jackasmo,3,"adr, kd_log, rating",4.957967398435715,1.0645453510157406e-06,3,9.549387983206053,0.1470655121514836,0.0935602828729154
6593,18717,pkl,lucaozy,3,"adr, kd_log, rating",4.895141908423585,9.173270455311858e-06,3,15.173959858392342,0.4136228222350257,0.13000936039386668
16816,18717,vsm,lucaozy,3,"adr, kd_log, rating",4.895141908423585,9.173270455311858e-06,3,15.173959858392342,0.4136228222350257,0.13000936039386668
16948,16921,travis,nafany,3,"adr, kd_log, rating",4.649492378960417,1.636168456415388e-05,2,11.958806724050184,0.2045161751022988,0.1311226412874195
23047,22471,sdaim,xielo,3,"adr, kd_log, rating",4.647970337508849,4.88928807364071e-06,2,10.274660119277629,0.10073612938334024,0.09057428510528137
23413,17803,s-chilla,fear,3,"adr, kd_log, rating",4.639849321908848,4.724582571563876e-06,3,7.888341794825486,0.20392525094039304,0.0673128880987181
23415,17803,zerrofix,fear,3,"adr, kd_log, rating",4.639849321908848,4.724582571563876e-06,3,7.888341794825486,0.20392525094039304,0.0673128880987181
20690,18714,zock,piriajr,3,"adr, kd_log, rating",4.622617881908669,7.34664364700121e-06,2,11.838579409295853,0.16107433556739284,0.11248533383307227
16820,13666,siuhy,brollan,3,"adr, kd_log, rating",4.55636336138367,8.337328432161707e-06,2,9.497867504644898,0.1584986388472776,0.0833980563668428
630,20465,mutiris,arrozdoce,3,"adr, kd_log, rating",4.538642611982189,1.0185621495957462e-05,2,9.429977959847267,0.13405675335736772,0.10427385679469768
2241,20465,roman,arrozdoce,3,"adr, kd_log, rating",4.538642611982189,1.0185621495957462e-05,2,9.429977959847267,0.13405675335736772,0.10427385679469768
20462,20465,story,arrozdoce,3,"adr, kd_log, rating",4.538642611982189,1.0185621495957462e-05,2,9.429977959847267,0.13405675335736772,0.10427385679469768
20885,18714,freq,piriajr,3,"adr, kd_log, rating",4.48961894250052,1.326605094502641e-05,2,11.636094498478563,0.1423429075185894,0.11009511534833849
23295,11199,kisserek,beastik,3,"adr, kd_log, rating",4.465698299994998,1.3549112293679353e-05,3,8.76355999786669,0.1729810893007811,0.07988300926353688
23459,11199,stressarn,beastik,3,"adr, kd_log, rating",4.465698299994998,1.3549112293679353e-05,3,8.76355999786669,0.1729810893007811,0.07988300926353688
