metric,n_obs,r2_adj,coef_own_pre,coef_own_pre_pval,coef_tm_pre,coef_tm_pre_pval,coef_opp_pre,coef_opp_pre_pval
rating,157025,0.00013585411431371597,0.002792049248390297,0.6711734091230088,0.006359197124884955,0.3719123249079038,-0.008270602266480855,0.08091019211278641
adr,157025,0.00010254687136945773,0.002706222106470631,0.6748429031908038,0.008183569740103855,0.2704414144304502,-0.009518872198842131,0.10068485448056373
kd_log,157025,7.82476950504929e-05,-0.00047394391715784256,0.8447090079308174,0.014308462553605334,0.08922238299176583,-0.013667230466018058,0.10643029853168164
