hltv_player_id,true_plus_minus,pm_maps,avg_rating,win_rate,label
7687,2.606741573033708,89,0.7326741573033708,0.6966292134831461,nitr0
18462,2.5946969696969697,264,0.6893484848484849,0.6931818181818182,mezii
16693,2.5547445255474455,274,0.7530948905109489,0.6861313868613139,flamez
11893,2.5547445255474455,274,0.8523467153284672,0.6861313868613139,zywoo
7322,2.5547445255474455,274,0.6768978102189781,0.6861313868613139,apex
20423,2.506787330316742,221,0.7561764705882353,0.6923076923076923,zont1x
18317,2.4242424242424243,198,0.6792323232323232,0.6767676767676768,magixx
18838,2.3833333333333333,120,0.7324,0.6666666666666666,hext
21286,2.3636363636363638,55,0.8176727272727273,0.6545454545454545,mlhzin
19692,2.3294797687861273,173,0.6943583815028902,0.6647398843930635,zevy
16920,2.221311475409836,244,0.7457909836065574,0.6680327868852459,sh1ro
21167,2.221311475409836,244,0.9423852459016394,0.6680327868852459,donk
7716,2.221311475409836,244,0.6253893442622951,0.6680327868852459,chopper
22674,2.1934156378600824,243,0.6767160493827161,0.6748971193415638,cmtry
22703,2.1357142857142857,140,0.7458214285714285,0.7,moonwalk
20584,2.130081300813008,246,0.7485975609756098,0.6707317073170732,dem0n
22203,2.130081300813008,246,0.7959430894308943,0.6707317073170732,krabeni
20026,2.1280487804878048,164,0.7399390243902438,0.6646341463414634,chayjesus
23553,2.0991735537190084,242,0.760690082644628,0.6694214876033058,dziugss
24177,2.009478672985782,211,0.882739336492891,0.6398104265402843,kyousuke
20333,1.9850746268656716,134,0.8272164179104478,0.6492537313432836,jeorge
22673,1.9064039408866995,203,0.8216847290640393,0.6502463054187192,makazze
12521,1.8967391304347827,184,0.7843260869565217,0.6358695652173914,art
11816,1.8338762214983713,307,0.7626807817589577,0.6514657980456026,ropz
23771,1.831578947368421,95,0.7540421052631578,0.6210526315789474,oz1k
23770,1.831578947368421,95,0.7809368421052633,0.6210526315789474,cronuss
20104,1.8227848101265822,158,0.7353481012658228,0.6012658227848101,s1n
22366,1.8046875,128,0.6731640625,0.6328125,nicks
15370,1.798780487804878,164,0.6952987804878048,0.5975609756097561,slaxz
16599,1.798780487804878,164,0.7602256097560977,0.5975609756097561,swisher
22929,1.7944250871080138,287,0.7555052264808363,0.6167247386759582,nota
15071,1.7881355932203389,118,0.6544576271186441,0.6101694915254238,interz
19065,1.7108433734939759,83,0.6096144578313253,0.6024096385542169,shine
22886,1.709090909090909,55,0.7762727272727272,0.6,xeedo
23684,1.709090909090909,55,0.7565454545454545,0.6,relaxxie
23686,1.709090909090909,55,0.7207272727272728,0.6,kashl1d
22415,1.6730769230769231,52,0.6744807692307693,0.6153846153846154,accuracytg
23459,1.6694915254237288,118,0.7780847457627118,0.6016949152542372,stressarn
20563,1.6628787878787878,264,0.7767537878787878,0.6174242424242424,lux
16816,1.6130653266331658,199,0.852748743718593,0.628140703517588,vsm
23600,1.5968586387434556,191,0.6805445026178011,0.6230366492146597,alkaren
3347,1.5862068965517242,58,0.668,0.5517241379310345,seized
16717,1.5496688741721854,151,0.749112582781457,0.6026490066225165,br0
20085,1.5124555160142348,281,0.7311423487544484,0.604982206405694,kauez
20903,1.5107142857142857,280,0.7884785714285715,0.6107142857142858,senzu
12822,1.4931506849315068,219,0.7161415525114155,0.6118721461187214,vini
22564,1.4931506849315068,219,0.7455433789954338,0.6118721461187214,noway
13776,1.4674220963172804,353,0.6965807365439094,0.6005665722379604,jame
19235,1.4405405405405405,370,0.7886837837837838,0.5945945945945946,belchonokk
20097,1.44,50,0.7141,0.58,h4rn
24863,1.432,125,0.73988,0.608,timo
