player_a_id,player_a,n_events,mean_delta,median_delta,mean_t,min_p
8507,stanislaw,1,0.14111332140673383,0.14111332140673383,3.3724232353119996,0.001246375416888988
11217,spellan,1,0.1404513180069588,0.1404513180069588,3.077838359799189,0.003606718877431637
21779,nut-nut,1,0.13832774074976664,0.13832774074976664,2.6836642727616464,0.04478150659713304
20510,hyza,1,0.11627596675930273,0.11627596675930273,2.869491947315065,0.005349468607762966
22473,qlocuu,1,0.1117343678461549,0.1117343678461549,2.866789174837839,0.005339837855796709
22760,upe,1,0.1085786160118353,0.1085786160118353,3.1586412181511396,0.0023025336606601753
23413,s-chilla,1,0.10140014598795793,0.10140014598795793,2.4873714523792345,0.015164286598645707
18838,hext,1,0.09288429376845185,0.09288429376845185,2.313986193442291,0.0233514295402558
12781,k1to,1,0.08683623278275848,0.08683623278275848,2.232948322323436,0.02842029428043732
2898,raalz,1,0.08474320113065589,0.08474320113065589,2.2440182953389702,0.02792916558178643
15071,interz,2,0.08103555730177305,0.08103555730177305,1.9056987865855333,0.00850767473406665
19738,djoko,1,0.0803101489046554,0.0803101489046554,1.6124948532428638,0.11232152183048053
24972,maquein,1,0.08010504276901871,0.08010504276901871,1.912400128685596,0.059546901989788646
16486,ztr,1,0.07997728371208548,0.07997728371208548,2.0212617970231084,0.04696705622340021
18510,sugar,1,0.07831178415187706,0.07831178415187706,2.061320412980135,0.043394358436751684
20690,zock,1,0.07781923747725918,0.07781923747725918,2.2381746228710218,0.02845893820137725
15176,cryptic,1,0.07703645986014619,0.07703645986014619,1.234727385423576,0.22358726483698527
22011,kadziu,2,0.07561670603444993,0.07561670603444993,2.067947539360227,0.03596664393879988
15914,luken,1,0.07367697577934096,0.07367697577934096,1.5410428905125129,0.12874763091296426
21199,mistr,1,0.07297647156551139,0.07297647156551139,1.773018051260257,0.08018272817224348
23360,easy,1,0.07067268024065165,0.07067268024065165,1.7866425828778707,0.07835576054797463
19710,dare,1,0.07027890292017412,0.07027890292017412,1.4495071786364577,0.15292489537145895
23292,pump,2,0.07011380365306502,0.07011380365306502,1.8887004904825844,0.021312577016756373
16753,n1xen,3,0.06797300868879648,0.047001715607958613,1.3931632178659983,0.04478150659713304
19673,patsi,1,0.06757833797291177,0.06757833797291177,1.7991116581582387,0.07728719915585862
22076,aw,1,0.06731109671057317,0.06731109671057317,1.9994257648117206,0.049052048540630534
20465,arrozdoce,1,0.06517523297752925,0.06517523297752925,1.4216562853977641,0.16055092455531364
10508,nbl,1,0.0651197045444854,0.0651197045444854,1.5468584434069854,0.1259525390689
24048,slump,2,0.06331995023646325,0.06331995023646325,1.1999038266890358,0.12495468018164119
21099,bsd,2,0.06237424418913048,0.06237424418913048,1.4261410219065271,0.07529950892795856
20283,tomiko,2,0.06212968037188789,0.06212968037188789,1.6499372571236712,0.08956247590516724
21286,mlhzin,1,0.06201455067477099,0.06201455067477099,1.7284977527202705,0.08790716855478381
22921,lake,1,0.06171621451880584,0.06171621451880584,1.6434825182878599,0.10454729143355015
23763,pepo,1,0.06136266759549234,0.06136266759549234,1.5708479747044846,0.1220588770008498
9482,nekiz,1,0.060115665421627704,0.060115665421627704,1.0495722191470742,0.29828123889233094
22362,xureba,1,0.059546645345266394,0.059546645345266394,0.9301574500264794,0.3595383209028778
20207,raijin,1,0.05906220347546281,0.05906220347546281,1.905788309979192,0.06038269051162424
20090,zyphon,1,0.058098079666307846,0.058098079666307846,1.5963150377919304,0.11476033219293959
18761,viz,2,0.05799518074565773,0.05799518074565773,1.3871959516214016,0.13675717921432318
20945,frontsiderr,1,0.0570572272260209,0.0570572272260209,1.3470493899427023,0.1825201458310794
22967,ogwizard,1,0.056604683456049625,0.056604683456049625,1.1299218636958446,0.263248443127732
23046,jambo,1,0.05647860129985098,0.05647860129985098,1.4931143523566224,0.1398031782642166
12290,perx,2,0.05547369585745374,0.05547369585745374,1.428470752618296,0.041952740284642645
17132,leomonster,1,0.055464704704779266,0.055464704704779266,1.4138283530362932,0.1627686949547025
20122,freeze,1,0.054868725784428654,0.054868725784428654,1.434555142345125,0.1554164910176994
20309,bnox,1,0.05368415841374255,0.05368415841374255,1.0452568719310207,0.30070679929292254
13240,lack1,1,0.052958925112754934,0.052958925112754934,1.2631234562752283,0.21106710309535584
17378,reck,1,0.05280369512232203,0.05280369512232203,1.2615716032020177,0.2108650136877852
24328,lukita,1,0.05277968362178968,0.05277968362178968,1.3123884959937242,0.19348797450158106
24284,revoltz,1,0.0526598257348353,0.0526598257348353,1.5067634093521356,0.13616975501188555
20703,xerolte,1,0.05123667652008754,0.05123667652008754,1.2135999594898412,0.2297940991930185
24772,nardes,1,0.050914864751183994,0.050914864751183994,1.3334875478555455,0.18628196705348357
23766,hypex,2,0.05044850011882815,0.05044850011882815,1.0900244518654256,0.2802207099945117
21431,sstinix,2,0.0490112137934315,0.0490112137934315,1.3389710461736064,0.004055417975723823
11219,cerq,2,0.048828466622129856,0.048828466622129856,0.9942057506263542,0.003606718877431637
20385,kye,2,0.048144555036348236,0.048144555036348236,1.1315098989032308,0.1294057179204577
19750,drop,2,0.04797316877112233,0.04797316877112233,1.179858769390029,0.07302784051063935
13669,jackinho,1,0.047827787575936906,0.047827787575936906,1.0232819899680679,0.3104366253021998
21700,brn,1,0.04770913875331528,0.04770913875331528,0.9740989845869178,0.333057698026511
21170,koala,1,0.04697996114429528,0.04697996114429528,0.8579670108582783,0.3946718885078443
7443,twist,1,0.04620526247796684,0.04620526247796684,1.0943072204743816,0.27844559089811344
11816,ropz,1,0.04578096711745337,0.04578096711745337,1.1887813300314287,0.2383534174084797
23048,kelien,2,0.04563647722559119,0.04563647722559119,1.2132898152791847,0.15471741889142465
20357,d1ledez,1,0.04534283467564527,0.04534283467564527,1.1481286537693243,0.2544576872973804
18676,skullz,3,0.044983076649749015,0.03838039023173467,1.0580981848011013,0.005856346089741486
20889,7kick,2,0.04490619776192547,0.04490619776192547,1.1964629515561083,0.0680869524503328
8528,hobbit,1,0.04472868046224148,0.04472868046224148,1.157050734159091,0.25084463063942675
8891,nodios,3,0.044722531703690116,0.03396824064816475,1.1566302206667234,0.02853660315937258
17918,nosrac,2,0.04439642483687197,0.04439642483687197,1.0262392571726975,0.12411499936601765
19594,nbqq,1,0.04415037045437473,0.04415037045437473,1.2535328752563097,0.21416726813636916
16835,ponter,1,0.04394414063634155,0.04394414063634155,0.8671612574830128,0.3901066393503033
9031,valde,1,0.04391268873027351,0.04391268873027351,1.019535111674041,0.3114715619561884
25106,next,1,0.04314771812758514,0.04314771812758514,0.8923688362524932,0.3758062399032095
20447,heavygod,1,0.042916660106547586,0.042916660106547586,1.253659063603576,0.21374256343530657
24173,tenzy,1,0.0426005958779512,0.0426005958779512,0.9200918375237591,0.36163528310519527
13982,forester,1,0.04244800884308131,0.04244800884308131,0.964028869715261,0.3392161515169819
16029,heap,1,0.04158152621139017,0.04158152621139017,1.0380773333455349,0.30256928454090026
12102,djay,1,0.04064321373702307,0.04064321373702307,0.9246593737338071,0.35848908065157126
20430,alpha,7,0.039550546955295814,0.039341200972855095,1.0131721607757223,0.08277094138041541
24296,angelo,1,0.0390417795460446,0.0390417795460446,0.9081274278760754,0.36665511844155163
8605,somebody,1,0.03846669614700497,0.03846669614700497,0.7738845013183048,0.44134344262564595
20113,deko,1,0.037214274495075556,0.037214274495075556,1.243799041194216,0.2173347937493148
16885,woro2k,3,0.036938605592281605,0.06847017247597438,0.8265220352367403,0.09838337078858533
22040,z1nny,1,0.0367618922227637,0.0367618922227637,0.8801510980828504,0.38149300850154677
16432,manguss,1,0.0364868793425187,0.0364868793425187,0.9458900865808689,0.3471271878315241
20085,kauez,2,0.03633091136450199,0.03633091136450199,0.7851589734222268,0.3901066393503033
9626,xellow,1,0.03612797003479511,0.03612797003479511,0.7772690068364971,0.4407307423860298
20558,gafolo,1,0.036069170868658844,0.036069170868658844,1.0006771320829058,0.32021811973596037
20253,dragon,1,0.03575979276864401,0.03575979276864401,0.8186362867458583,0.4165607787895682
12004,clax,2,0.035648939552998485,0.035648939552998485,0.806614770296131,0.09248064237632961
