player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label,maps,avg_rating,avg_adr,avg_kd_log,win_rate,rapm_rank,rating_rank,adr_rank,kd_rank,winrate_rank,delta_rating,delta_adr,delta_kd,rapm_score_z,avg_rating_z,avg_adr_z,avg_kd_log_z,flag_high_rating_low_rapm,flag_low_rating_high_rapm
p_19164,2.3250463649008988,19164,sunpayus,sunpayus,sunpayus,191,0.6890890052356021,70.76335078534031,0.1303751515708464,0.5130890052356021,1.0,671.0,578.0,61.0,385.0,670.0,577.0,60.0,2.934829538880321,-0.8112025266434847,-0.47548516664505397,1.4328158164343123,False,True
p_21139,2.324646192620398,21139,pr1metapz,pr1metapz,pr1metapz,157,0.7158980891719745,71.32484076433121,-0.03511380521192304,0.5859872611464968,2.0,518.0,551.0,440.0,107.0,516.0,549.0,438.0,2.9341586396606525,-0.2688339964277771,-0.3660185042476848,-0.009051049157272102,False,False
p_11816,2.2870929938162368,11816,ropz,ropz,ropz,307,0.7626807817589577,77.21921824104234,0.16735381804130534,0.6514657980456026,3.0,209.0,179.0,34.0,21.0,206.0,176.0,31.0,2.8711997267088916,0.677616105267444,0.7831343808053972,1.755002353554768,False,False
p_19230,2.162436044352865,19230,m0nesy,m0nesy,m0nesy,287,0.7938153310104529,81.94250871080139,0.27132550072462724,0.6167247386759582,4.0,79.0,36.0,4.0,38.0,75.0,32.0,0.0,2.662209113924479,1.3074921486466025,1.7039751127932419,2.660883489887443,False,False
p_3741,2.135348137490956,3741,niko,niko,niko,303,0.8184191419141914,82.58745874587459,0.10918894270889598,0.6072607260726073,5.0,31.0,32.0,92.0,48.0,26.0,27.0,87.0,2.616795534669671,1.8052462975476533,1.8297129360744515,1.2482252965626583,False,False
p_13915,2.078977996619967,13915,yekindar,yekindar,yekindar,221,0.7423167420814479,74.51855203619908,-0.09008646544709299,0.583710407239819,6.0,342.0,331.0,592.0,112.0,336.0,325.0,586.0,2.522289529716989,0.2656358117460893,0.2566193462452711,-0.48801507701419583,False,False
p_16816,2.0776597822346,16816,vsm,vsm,vsm,199,0.852748743718593,86.23015075376884,0.21066099162122282,0.628140703517588,7.0,5.0,7.0,13.0,30.0,-2.0,0.0,6.0,2.520079509069403,2.499760728467191,2.539882932273464,2.132327704087208,False,False
p_23295,2.067803463718507,23295,kisserek,kisserek,kisserek,265,0.7753018867924529,78.29169811320754,-0.018177347501429943,0.5471698113207547,8.0,148.0,132.0,383.0,233.0,140.0,124.0,375.0,2.503555135134825,0.9329508344570431,0.9922223369346792,0.13851237542403327,False,False
p_20423,2.0427679612468252,20423,zont1x,zont1x,zont1x,221,0.7561764705882353,76.09321266968325,0.04764018115004928,0.6923076923076923,9.0,248.0,235.0,195.0,4.0,239.0,226.0,186.0,2.46158246513571,0.5460288530471562,0.563611190099409,0.7119652243791702,False,False
p_24144,1.994489901063813,24144,molodoy,molodoy,molodoy,146,0.7219109589041096,74.75205479452055,0.21069663464429364,0.6232876712328768,10.0,481.0,317.0,12.0,33.0,471.0,307.0,2.0,2.3806430435862107,-0.14718898510487569,0.30214245185789,2.13263825347343,False,False
p_22473,1.9391141891512256,22473,qlocuu,qlocuu,qlocuu,160,0.74886875,74.531875,-0.04490376433981239,0.4875,11.0,301.0,329.0,467.0,504.0,290.0,318.0,456.0,2.287804224604961,0.3981880061135182,0.2592167574816183,-0.09434869050097092,False,False
p_20563,1.8976697232746136,20563,lux,lux,lux,264,0.7767537878787878,78.69621212121211,0.01406039073550861,0.6174242424242424,12.0,144.0,112.0,282.0,37.0,132.0,100.0,270.0,2.218321501360391,0.9623239178523194,1.0710853621106993,0.41939230535477945,False,False
p_12822,1.871988317550068,12822,vini,vini,vini,219,0.7161415525114155,71.33424657534248,-0.08564439718239523,0.6118721461187214,13.0,516.0,550.0,579.0,43.0,503.0,537.0,566.0,2.1752659577854625,-0.2639085445217204,-0.36418477118553155,-0.44931236735864455,False,False
p_22564,1.8719883175500547,22564,noway,noway,noway,219,0.7455433789954338,75.41004566210046,0.0238133403230359,0.6118721461187214,14.0,320.0,286.0,255.0,43.0,306.0,272.0,241.0,2.17526595778544,0.3309131753714816,0.4304226827737989,0.504367491164307,False,False
p_11893,1.8592045962759223,11893,zywoo,zywoo,zywoo,274,0.8523467153284672,88.16313868613139,0.33613804013167004,0.6861313868613139,15.0,6.0,4.0,1.0,5.0,-9.0,-11.0,-14.0,2.1538337171101527,2.491627382785741,2.9167333576192513,3.2255801008433824,False,False
p_16693,1.8592045962759107,16693,flamez,flamez,flamez,274,0.7530948905109489,75.46094890510949,0.019516565960751377,0.6861313868613139,16.0,273.0,281.0,266.0,5.0,257.0,265.0,250.0,2.153833717110133,0.48368610156685315,0.4403466499431064,0.46693069355349187,False,False
p_7322,1.8592045962758792,7322,apex,apex,apex,274,0.6768978102189781,68.79051094890511,-0.1579021719975594,0.6861313868613139,17.0,724.0,690.0,735.0,5.0,707.0,673.0,718.0,2.1538337171100803,-1.0578398432497655,-0.8601050181466794,-1.0788775861673177,False,True
