player_col,rapm_score,hltv_player_id,hltv_slug,player_name,label
p_16029,0.0020239400042873393,16029,heap,heap,heap
p_15778,0.001586750914093099,15778,sener1,sener1,sener1
p_15949,6.820149120301037e-05,15949,peppzor,peppzor,peppzor
p_22566,-0.00695125436857351,22566,deemo,deemo,deemo
p_24485,-0.009364567211678164,24485,yiksrezo,yiksrezo,yiksrezo
p_22904,-0.011345226798897396,22904,burmylov,burmylov,burmylov
p_23415,-0.012655218553649867,23415,zerrofix,zerrofix,zerrofix
p_13317,-0.013651256068321791,13317,aaron,aaron,aaron
p_7398,-0.01378555005539806,7398,dupreeh,dupreeh,dupreeh
p_14394,-0.016659116643676003,14394,tuurtle,tuurtle,tuurtle
p_23588,-0.024395896502695975,23588,n1cks,n1cks,n1cks
p_24557,-0.03213328887391944,24557,toto,toto,toto
p_3669,-0.034839381566078846,3669,innocent,innocent,innocent
p_19086,-0.03780496968735997,19086,pavv,pavv,pavv
p_24091,-0.03780496968736005,24091,dott1,dott1,dott1
p_20689,-0.037804969687360204,20689,hezz,hezz,hezz
p_13239,-0.03910093196307469,13239,qikert,qikert,qikert
p_24906,-0.04021812309899581,24906,dune,dune,dune
p_13718,-0.04065662614825858,13718,birdfromsky,birdfromsky,birdfromsky
p_21290,-0.0515377592944534,21290,perez,perez,perez
p_15821,-0.052879944151699367,15821,neofrag,neofrag,neofrag
p_20349,-0.05819460182030627,20349,casey,casey,casey
p_24917,-0.05978173343173815,24917,modesavage,modesavage,modesavage
p_22039,-0.06081374938069543,22039,danistzz,danistzz,danistzz
p_17113,-0.06773796491238447,17113,szejn,szejn,szejn
p_23550,-0.07034991732983166,23550,divine,divine,divine
p_17003,-0.07284358376554693,17003,snapy,snapy,snapy
p_22423,-0.07305794163158273,22423,clon7,clon7,clon7
p_24717,-0.08002885953867316,24717,nikz,nikz,nikz
p_20827,-0.08011055702564489,20827,linko,linko,linko
p_24146,-0.0826581698115161,24146,lezy,lezy,lezy
p_23957,-0.0826581698115161,23957,neozix,neozix,neozix
p_23549,-0.08265816981151611,23549,maxoff,maxoff,maxoff
p_17147,-0.08654767733742276,17147,juanflatroo,juanflatroo,juanflatroo
p_10828,-0.08672211466046277,10828,dok,dok,dok
p_23614,-0.08981190016688853,23614,bambosh,bambosh,bambosh
p_20083,-0.0913824805341672,20083,ninjaz,ninjaz,ninjaz
p_23150,-0.09185913905162021,23150,rzk,rzk,rzk
p_21762,-0.09724632435251838,21762,cso,cso,cso
p_14294,-0.09918338098523698,14294,hazr,hazr,hazr
p_20086,-0.09918338098523874,20086,addict,addict,addict
p_22060,-0.10244054441158128,22060,delle,delle,delle
p_23338,-0.10811384634609411,23338,beccie,beccie,beccie
p_21715,-0.11038206360098957,21715,flayy,flayy,flayy
p_15501,-0.11189075749557259,15501,b0denmaster,b0denmaster,b0denmaster
p_23690,-0.11262273106593855,23690,tyra,tyra,tyra
p_21233,-0.11725894586330833,21233,myltsi,myltsi,myltsi
p_24298,-0.11755755475353794,24298,alennncar,alennncar,alennncar
p_16946,-0.12893831378438664,16946,polt,polt,polt
p_21700,-0.12986293738772864,21700,brn,brn,brn
p_19763,-0.13123506489539769,19763,boros,boros,boros
